f_number,language,cycles,init_density,final_density,extinction_cycle,stable_density,score_dist,score_energy,score_selfref,score_memory,total_score
65,javascript,10000,0,0,,,0,0,0,0.5,0.5
67,javascript,5000,0,0,,,0,0,0,1,1
68,javascript,5000,0,0,,,0,0,0,0,0
69,javascript,5000,0,0,,,0,0,0,0,0
70,javascript,5000,0,0,,,0,0,0.5,0.5,1.0
71,javascript,5000,0,0,,,0,0,0,1,1
72,javascript,5000,0,0,,,0,0,0,1,1
73,javascript,5000,0,0,,,0,0,0,0,0
75,javascript,4000,0,0,,,0,0,0,1,1
76,javascript,3500,0,0,,,0,0,0,0,0
77,javascript,3000,0,0,,,0,0,0,1,1
79,javascript,3000,0,0,,,0,0,0,1,1
80,javascript,2500,0,0,,,0,0,0,1,1
81,javascript,2500,0,0,,,0,0,0,1,1
82,javascript,2500,0.6649,0.6363,,,1,0,0,1,2
83,javascript,2500,0,0,,,0,0,0,1,1
84,javascript,1500,0,0,,,0,0,0,1,1
85,javascript,2000,48.44,48.44,,,1,0,0,0,1
86,javascript,2000,39.84,48.44,,,1,0,0,1,2
87,javascript,3000,4.69,50.0,,,1,0,0,1,2
88,javascript,2500,0,0,,,0,0,0,1,1
89,javascript,2000,12.5,12.5,,,1,0,0,1,2
90,javascript,2000,44.53,15.63,,,0.5,0,0,1,1.5
91,javascript,2000,54.31,40.09,,,1,0,0,1,2
92,javascript,2000,44.75,52.81,,,1,0,0,1,2
93,javascript,2000,41.13,45.0,,,1,0,0,1,2
94,javascript,2000,35.21,18.02,,,1,0,0,1,2
95,javascript,2000,47.14,47.14,,,1,0,0,1,2
96,javascript,2000,48.84,29.09,,,1,0,0,1,2
97,javascript,2000,43.09,0,,,0,0,0,0,0
98,javascript,2000,46.05,0,,,0,0,0,1,1
99,nodejs,10000,49.92,49.92,,,1,0,0,1,2
100,nodejs,10000,49.76,49.76,,,1,0,0,1,2
101,nodejs,5000,50.07,0,,,0,0,0,1,1
102,nodejs,10000,12.45,58.86,,,1,0,0,1,2
103,nodejs,10000,50.16,50.16,,,1,0,0,1,2
104,nodejs,10000,49.8,49.8,,,1,0,0,1,2
105,nodejs,10000,49.77,0,,,0,0,0,1,1
106,nodejs,10000,49.87,49.87,,,1,0,0,1,2
66,perl,5000,1.0,1.0,,,1,0,0,0,1
1,python,10000,0,0,,,0,0,0,0,0
2,python,10000,0,0,,,0,0,0,0,0
3,python,10000,0,0,,,0,0,0,0,0
4,python,10000,0,0,,,0,0,0.5,0,0.5
5,python,10000,0,0,,,0,0,0,0,0
6,python,10000,0,0,,,0,0,0,1,1
7,python,10000,0,0,,,0,0,0,1,1
8,python,10000,0,0,,,0,0,0.5,1,1.5
9,python,10000,0,0,,,0,0,0.5,0,0.5
10,python,10000,0,0,,,0,0,0,1,1
11,python,10000,0,0,,,0,0,0,0,0
12,python,10000,0,0,,,0,0,0.5,1,1.5
13,python,10000,0,0,,,0,0,0,1,1
13,python,10000,0,0,,,0,0,0,1,1
14,python,10000,0,0,,,0,0,0,0,0
15,python,10000,0,0,,,0,0,0,0,0
16,python,10000,0,0,,,0,0,0,1,1
17,python,10000,0,0,,,0,1,0.5,0,1.5
18,python,10000,0,0,,,0,0,0,1,1
19,python,10000,0,0,,,0,0,0.5,0,0.5
20,python,10000,0,0,,,0,0.5,0,0,0.5
21,python,10000,0,0,,,0,0,0,0,0
22,python,10000,0,0,,,0,0,0.5,0,0.5
23,python,10000,0,0,,,0,0,0.5,1,1.5
24,python,10000,0,0,,,0,0,0,0,0
25,python,10000,0,0,,,0,0,0.5,0,0.5
26,python,10000,0,0,,,0,0,0,0,0
27,python,10000,0,0,,,0,0,0,0,0
28,python,10000,0,0,,,0,0,0.5,0,0.5
29,python,10000,0,0,,,0,0,0,0,0
30,python,10000,0,0,,,0,0,0.5,0,0.5
31,python,10000,0,0,,,0,0,0,0,0
32,python,10000,0,0,,,0,0,0,0,0
33,python,10000,0,0,,,0,0,0,1,1
34,python,10000,0,0,,,0,0,0,0,0
35,python,10000,0,0,,,0,0,0,0,0
36,python,10000,0,0,,,0,0,0.5,0,0.5
37,python,10000,0,0,,,0,0,0.5,0,0.5
38,python,10000,0,0,,,0,0,0,1,1
39,python,10000,0,0,,,0,0,0,0,0
40,python,10000,0,0,,,0,0,0,0,0
41,python,10000,0,0,,,0,0,0,0,0
42,python,10000,0,0,,,0,0,0,1,1
43,python,10000,0,0,,,0,0,0,0,0
44,python,10000,0,0,,,0,0,0.5,0,0.5
45,python,10000,0,0,,,0,0,0,1,1
46,python,10000,0,0,,,0,0,0.5,1,1.5
47,python,10000,0,0,,,0,0,0.5,0,0.5
48,python,10000,0,0,,,0,0,0,1,1
49,python,10000,0.377,0.377,,,1,0,0,0,1
50,python,10000,0,0,,,0,0,0.5,0,0.5
51,python,10000,0,0,,,0,0,1,0,1
52,python,10000,0,0,,,0,0,0,0,0
53,python,10000,0,0,,,0,0,0,1,1
74,python,6000,0.6055,0.6055,,,1,0,0,1,2
107,python,5000,50.17,50.17,,,1,0,0,1,2
54,rust,10000,0,0,,,0,0,0,1,1
55,rust,10000,3.0,3.0,,,1,0,0,0,1
56,rust,10000,0,0,,,0,0,1,1,2
57,rust,5000,0,0,,,0,0,0,1,1
58,rust,8000,0,0,,,0,0,0,0,0
59,rust,10000,0,0,,,0,0,0,0,0
60,rust,8000,0,0,,,0,0,0,0,0
61,rust,10000,0,0,,,0,0,0.5,0,0.5
62,rust,8000,0,0,,,0,0,0,0,0
63,rust,10000,0,0,,,0,0,1,1,2
